reason_for_recall,reason_lower,reason_cat,n
Prima Spice Inc. is recalling Chef Delight's Ground Cumin due to possible peanut protein contamination.  This recall is a result of the Schiff Foods Product recall.,prima spice inc. is recalling chef delight's ground cumin due to possible peanut protein contamination.  this recall is a result of the schiff foods product recall.,Undeclared allergen,1
Organic Garden Stir Fry is recalled because it has the potential to be contaminated with Listeria monocytogenes.,organic garden stir fry is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Finished product samples of  half moon sliced yellow squash reported positive for Listeria monocytogenes from third party laboratory.,finished product samples of  half moon sliced yellow squash reported positive for listeria monocytogenes from third party laboratory.,Bacterial pathogen contamination,1
"Primex International Trading Corp. is recalling Pistachios Shelled, Halves, because it has the potential to be contaminated with Salmonella.","primex international trading corp. is recalling pistachios shelled, halves, because it has the potential to be contaminated with salmonella.",Bacterial pathogen contamination,1
"American Spice received recalled cumin from Adams Extract & Spice, LLC and used for their BBQ Spice Blend.  Product was distributed in bulk packaging for further use.","american spice received recalled cumin from adams extract & spice, llc and used for their bbq spice blend.  product was distributed in bulk packaging for further use.",Other / Unspecified,1
Supreme Stir-Fry Sensation is recalled because it has the potential to be contaminated with Listeria monocytogenes.,supreme stir-fry sensation is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Undeclared tree nut: Coconut,undeclared tree nut: coconut,Undeclared allergen,1
Positive laboratory result for Salmonella sp.  Speciation in progress.,positive laboratory result for salmonella sp.  speciation in progress.,Bacterial pathogen contamination,1
Supreme Healthy Garden Blend is recalled because it has the potential to be contaminated with Listeria monocytogenes.,supreme healthy garden blend is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Products contains inorganic arsenic above action level set in guidance to industry.,products contains inorganic arsenic above action level set in guidance to industry.,Chemical contamination / Toxins / Adulteration,1
"Korean Oysters are recalled because the products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.","korean oysters are recalled because the products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",Regulatory / GMP / Process deviation,1
A recall was initiated as a result of an undeclared sugar ingredient in the labeling used for Jennies' Dutch Chocolate Macaroons.,a recall was initiated as a result of an undeclared sugar ingredient in the labeling used for jennies' dutch chocolate macaroons.,Undeclared allergen,1
Organic Potato Medley is recalled because it has the potential to be contaminated with Listeria monocytogenes.,organic potato medley is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Organic Broccoli & Cheddar Cheese is recalled because it has the potential to be contaminated with Listeria monocytogenes.,organic broccoli & cheddar cheese is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
"Saratoga Food Specialties, has initiated a voluntary recall of Pizza Hut Seasonings following their supplier's recall of dry whey powder due to the potential presence of Salmonella","saratoga food specialties, has initiated a voluntary recall of pizza hut seasonings following their supplier's recall of dry whey powder due to the potential presence of salmonella",Bacterial pathogen contamination,1
Blueberries are recalls because they have the potential to be contaminated with Listeria monocytogenes.,blueberries are recalls because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
"Wellements is recalling Wellements Baby Move Prune Concentrate, 4oz. because they have confirmed that their supplier of the ingredient galacto-oligosaccharide which is used in the Baby Move product may be contaminated Salmonella.","wellements is recalling wellements baby move prune concentrate, 4oz. because they have confirmed that their supplier of the ingredient galacto-oligosaccharide which is used in the baby move product may be contaminated salmonella.",Bacterial pathogen contamination,1
Organic Sweet Cherries are recalled because they have the potential to be contaminated with Listeria monocytogenes.,organic sweet cherries are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
"undeclared peanuts, almonds and pecans","undeclared peanuts, almonds and pecans",Undeclared allergen,1
"The product was recalled due to undeclared-sub ingredient, hydrolyzed soy protein.","the product was recalled due to undeclared-sub ingredient, hydrolyzed soy protein.",Undeclared allergen,1
The product is being recalled for undeclared wheat.  The flour tortillas were mislabeled as corn tortillas.,the product is being recalled for undeclared wheat.  the flour tortillas were mislabeled as corn tortillas.,Undeclared allergen,1
Organic Cranberries are recalled because they have the potential to be contaminated with Listeria monocytogenes.,organic cranberries are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Label has a Contains statement that is missing milk and coconut (tree nut) that are declared in the ingredients statement.,label has a contains statement that is missing milk and coconut (tree nut) that are declared in the ingredients statement.,Undeclared allergen,1
The product contains Soy Protein Isolate which may be contaminated with Salmonella.,the product contains soy protein isolate which may be contaminated with salmonella.,Undeclared allergen,1
Organic Peaches are recalled because they have the potential to be contaminated with Listeria monocytogenes.,organic peaches are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Organic Raspberries are recalled because they have the potential to be contaminated with Listeria monocytogenes.,organic raspberries are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
